sample,dataset,type,rotation,bits,dims,recall10,recall100,recall10in100
100k,emb_siglip2,BFloat16,rotated,9,640,0.8,0.8015,1.0
100k,emb_siglip2,BFloat16,rotated,9,768,0.825,0.8325,1.0
100k,emb_siglip2,BFloat16,rotated,9,896,0.805,0.8535,1.0
100k,emb_siglip2,BFloat16,rotated,9,1024,0.89,0.883,1.0
100k,emb_siglip2,BFloat16,rotated,9,1152,0.855,0.883,1.0
100k,emb_siglip2,BFloat16,rotated,9,1280,0.865,0.8875,1.0
100k,emb_siglip2,BFloat16,rotated,9,1408,0.875,0.8935,1.0
100k,emb_siglip2,BFloat16,rotated,9,1536,0.89,0.9035,1.0
100k,emb_siglip2,BFloat16,rotated,9,1664,0.9,0.914,1.0
100k,emb_siglip2,BFloat16,rotated,9,1792,0.935,0.92,1.0
100k,emb_siglip2,BFloat16,rotated,9,1920,0.905,0.9325,1.0
100k,emb_siglip2,BFloat16,rotated,9,2048,0.92,0.944,1.0
100k,emb_siglip2,BFloat16,rotated,10,128,0.5,0.5,0.885
100k,emb_siglip2,BFloat16,rotated,10,256,0.655,0.6655,0.995
100k,emb_siglip2,BFloat16,rotated,10,384,0.705,0.726,0.995
100k,emb_siglip2,BFloat16,rotated,10,512,0.775,0.7795,1.0
100k,emb_siglip2,BFloat16,rotated,10,640,0.835,0.819,1.0
100k,emb_siglip2,BFloat16,rotated,10,768,0.865,0.841,1.0
100k,emb_siglip2,BFloat16,rotated,10,896,0.855,0.872,1.0
100k,emb_siglip2,BFloat16,rotated,10,1024,0.89,0.9,1.0
100k,emb_siglip2,BFloat16,rotated,10,1152,0.885,0.8945,1.0
100k,emb_siglip2,BFloat16,rotated,10,1280,0.9,0.903,1.0
100k,emb_siglip2,BFloat16,rotated,10,1408,0.89,0.91,1.0
100k,emb_siglip2,BFloat16,rotated,10,1536,0.925,0.9195,1.0
100k,emb_siglip2,BFloat16,rotated,10,1664,0.93,0.926,1.0
100k,emb_siglip2,BFloat16,rotated,10,1792,0.945,0.9365,1.0
100k,emb_siglip2,BFloat16,rotated,10,1920,0.96,0.951,1.0
100k,emb_siglip2,BFloat16,rotated,10,2048,0.97,0.9615,1.0
100k,emb_siglip2,BFloat16,rotated,11,128,0.51,0.509,0.905
100k,emb_siglip2,BFloat16,rotated,11,256,0.675,0.6685,0.99
100k,emb_siglip2,BFloat16,rotated,11,384,0.7,0.7315,1.0
100k,emb_siglip2,BFloat16,rotated,11,512,0.79,0.7835,1.0
100k,emb_siglip2,BFloat16,rotated,11,640,0.835,0.825,1.0
100k,emb_siglip2,BFloat16,rotated,11,768,0.865,0.8505,1.0
100k,emb_siglip2,BFloat16,rotated,11,896,0.875,0.882,1.0
100k,emb_siglip2,BFloat16,rotated,11,1024,0.895,0.906,1.0
100k,emb_siglip2,BFloat16,rotated,11,1152,0.885,0.9,1.0
100k,emb_siglip2,BFloat16,rotated,11,1280,0.895,0.908,1.0
100k,emb_siglip2,BFloat16,rotated,11,1408,0.895,0.914,1.0
100k,emb_siglip2,BFloat16,rotated,11,1536,0.93,0.923,1.0
100k,emb_siglip2,BFloat16,rotated,11,1664,0.92,0.934,1.0
100k,emb_siglip2,BFloat16,rotated,11,1792,0.945,0.9445,1.0
100k,emb_siglip2,BFloat16,rotated,11,1920,0.95,0.9615,1.0
100k,emb_siglip2,BFloat16,rotated,11,2048,0.98,0.9795,1.0
100k,emb_siglip2,BFloat16,rotated,12,128,0.51,0.5125,0.895
100k,emb_siglip2,BFloat16,rotated,12,256,0.67,0.672,0.99
100k,emb_siglip2,BFloat16,rotated,12,384,0.705,0.7335,1.0
100k,emb_siglip2,BFloat16,rotated,12,512,0.79,0.7875,1.0
100k,emb_siglip2,BFloat16,rotated,12,640,0.825,0.828,1.0
100k,emb_siglip2,BFloat16,rotated,12,768,0.84,0.8525,1.0
100k,emb_siglip2,BFloat16,rotated,12,896,0.875,0.8805,1.0
100k,emb_siglip2,BFloat16,rotated,12,1024,0.89,0.9095,1.0
100k,emb_siglip2,BFloat16,rotated,12,1152,0.885,0.908,1.0
100k,emb_siglip2,BFloat16,rotated,12,1280,0.89,0.908,1.0
100k,emb_siglip2,BFloat16,rotated,12,1408,0.895,0.914,1.0
100k,emb_siglip2,BFloat16,rotated,12,1536,0.935,0.9285,1.0
100k,emb_siglip2,BFloat16,rotated,12,1664,0.92,0.936,1.0
100k,emb_siglip2,BFloat16,rotated,12,1792,0.945,0.949,1.0
100k,emb_siglip2,BFloat16,rotated,12,1920,0.955,0.966,1.0
100k,emb_siglip2,BFloat16,rotated,12,2048,0.99,0.9915,1.0
100k,emb_siglip2,BFloat16,rotated,13,128,0.51,0.511,0.89
100k,emb_siglip2,BFloat16,rotated,13,256,0.665,0.6725,0.99
100k,emb_siglip2,BFloat16,rotated,13,384,0.705,0.734,1.0
100k,emb_siglip2,BFloat16,rotated,13,512,0.795,0.787,1.0
100k,emb_siglip2,BFloat16,rotated,13,640,0.83,0.8305,1.0
100k,emb_siglip2,BFloat16,rotated,13,768,0.86,0.853,1.0
100k,emb_siglip2,BFloat16,rotated,13,896,0.87,0.882,1.0
100k,emb_siglip2,BFloat16,rotated,13,1024,0.89,0.908,1.0
100k,emb_siglip2,BFloat16,rotated,13,1152,0.895,0.9045,1.0
100k,emb_siglip2,BFloat16,rotated,13,1280,0.905,0.9095,1.0
100k,emb_siglip2,BFloat16,rotated,13,1408,0.915,0.9155,1.0
100k,emb_siglip2,BFloat16,rotated,13,1536,0.93,0.9305,1.0
100k,emb_siglip2,BFloat16,rotated,13,1664,0.925,0.9385,1.0
100k,emb_siglip2,BFloat16,rotated,13,1792,0.95,0.9505,1.0
100k,emb_siglip2,BFloat16,rotated,13,1920,0.955,0.966,1.0
100k,emb_siglip2,BFloat16,rotated,13,2048,0.99,0.9955,1.0
100k,emb_siglip2,BFloat16,rotated,14,128,0.52,0.51,0.885
100k,emb_siglip2,BFloat16,rotated,14,256,0.67,0.6715,0.99
100k,emb_siglip2,BFloat16,rotated,14,384,0.71,0.7345,1.0
100k,emb_siglip2,BFloat16,rotated,14,512,0.785,0.786,1.0
100k,emb_siglip2,BFloat16,rotated,14,640,0.83,0.8315,1.0
100k,emb_siglip2,BFloat16,rotated,14,768,0.86,0.854,1.0
100k,emb_siglip2,BFloat16,rotated,14,896,0.87,0.881,1.0
100k,emb_siglip2,BFloat16,rotated,14,1024,0.895,0.908,1.0
100k,emb_siglip2,BFloat16,rotated,14,1152,0.895,0.902,1.0
100k,emb_siglip2,BFloat16,rotated,14,1280,0.905,0.9105,1.0
100k,emb_siglip2,BFloat16,rotated,14,1408,0.91,0.9145,1.0
100k,emb_siglip2,BFloat16,rotated,14,1536,0.93,0.9295,1.0
100k,emb_siglip2,BFloat16,rotated,14,1664,0.92,0.94,1.0
100k,emb_siglip2,BFloat16,rotated,14,1792,0.955,0.9495,1.0
100k,emb_siglip2,BFloat16,rotated,14,1920,0.965,0.9665,1.0
100k,emb_siglip2,BFloat16,rotated,14,2048,1.0,0.999,1.0
100k,emb_siglip2,BFloat16,rotated,15,128,0.515,0.5095,0.895
100k,emb_siglip2,BFloat16,rotated,15,256,0.665,0.673,0.99
100k,emb_siglip2,BFloat16,rotated,15,384,0.705,0.7335,1.0
100k,emb_siglip2,BFloat16,rotated,15,512,0.795,0.784,1.0
100k,emb_siglip2,BFloat16,rotated,15,640,0.825,0.8305,1.0
100k,emb_siglip2,BFloat16,rotated,15,768,0.86,0.8535,1.0
100k,emb_siglip2,BFloat16,rotated,15,896,0.865,0.8815,1.0
100k,emb_siglip2,BFloat16,rotated,15,1024,0.89,0.908,1.0
100k,emb_siglip2,BFloat16,rotated,15,1152,0.9,0.902,1.0
100k,emb_siglip2,BFloat16,rotated,15,1280,0.905,0.911,1.0
100k,emb_siglip2,BFloat16,rotated,15,1408,0.905,0.914,1.0
100k,emb_siglip2,BFloat16,rotated,15,1536,0.93,0.929,1.0
100k,emb_siglip2,BFloat16,rotated,15,1664,0.92,0.9375,1.0
100k,emb_siglip2,BFloat16,rotated,15,1792,0.96,0.949,1.0
100k,emb_siglip2,BFloat16,rotated,15,1920,0.96,0.967,1.0
100k,emb_siglip2,BFloat16,rotated,15,2048,1.0,0.9995,1.0
100k,emb_siglip2,BFloat16,rotated,16,128,0.515,0.5095,0.89
100k,emb_siglip2,BFloat16,rotated,16,256,0.67,0.672,0.99
100k,emb_siglip2,BFloat16,rotated,16,384,0.715,0.733,1.0
100k,emb_siglip2,BFloat16,rotated,16,512,0.79,0.7855,1.0
100k,emb_siglip2,BFloat16,rotated,16,640,0.825,0.8305,1.0
100k,emb_siglip2,BFloat16,rotated,16,768,0.86,0.854,1.0
100k,emb_siglip2,BFloat16,rotated,16,896,0.865,0.8815,1.0
100k,emb_siglip2,BFloat16,rotated,16,1024,0.89,0.908,1.0
100k,emb_siglip2,BFloat16,rotated,16,1152,0.895,0.9015,1.0
100k,emb_siglip2,BFloat16,rotated,16,1280,0.9,0.912,1.0
100k,emb_siglip2,BFloat16,rotated,16,1408,0.905,0.914,1.0
100k,emb_siglip2,BFloat16,rotated,16,1536,0.93,0.9285,1.0
100k,emb_siglip2,BFloat16,rotated,16,1664,0.925,0.938,1.0
100k,emb_siglip2,BFloat16,rotated,16,1792,0.96,0.949,1.0
100k,emb_siglip2,BFloat16,rotated,16,1920,0.96,0.9665,1.0
100k,emb_siglip2,BFloat16,rotated,16,2048,1.0,0.999,1.0
100k,emb_siglip2,Int8,original,1,128,0.31,0.2925,0.685
100k,emb_siglip2,Int8,original,1,256,0.46,0.4535,0.865
100k,emb_siglip2,Int8,original,1,384,0.515,0.525,0.935
100k,emb_siglip2,Int8,original,1,512,0.595,0.5715,0.955
100k,emb_siglip2,Int8,original,1,640,0.64,0.602,0.975
100k,emb_siglip2,Int8,original,1,768,0.665,0.632,0.985
100k,emb_siglip2,Int8,original,1,896,0.69,0.659,0.99
100k,emb_siglip2,Int8,original,1,1024,0.715,0.6775,0.995
100k,emb_siglip2,Int8,original,1,1152,0.715,0.6935,1.0
100k,emb_siglip2,Int8,original,2,128,0.405,0.386,0.785
100k,emb_siglip2,Int8,original,2,256,0.565,0.5505,0.96
100k,emb_siglip2,Int8,original,2,384,0.685,0.6235,0.985
100k,emb_siglip2,Int8,original,2,512,0.715,0.667,0.99
100k,emb_siglip2,Int8,original,2,640,0.745,0.695,0.995
100k,emb_siglip2,Int8,original,2,768,0.77,0.729,1.0
100k,emb_siglip2,Int8,original,2,896,0.785,0.755,1.0
100k,emb_siglip2,Int8,original,2,1024,0.805,0.7795,1.0
100k,emb_siglip2,Int8,original,2,1152,0.81,0.786,1.0
100k,emb_siglip2,Int8,original,3,128,0.405,0.399,0.825
100k,emb_siglip2,Int8,original,3,256,0.615,0.5935,0.96
100k,emb_siglip2,Int8,original,3,384,0.685,0.6575,0.995
100k,emb_siglip2,Int8,original,3,512,0.745,0.707,1.0
100k,emb_siglip2,Int8,original,3,640,0.775,0.742,1.0
100k,emb_siglip2,Int8,original,3,768,0.84,0.7705,1.0
100k,emb_siglip2,Int8,original,3,896,0.815,0.7895,1.0
100k,emb_siglip2,Int8,original,3,1024,0.835,0.815,1.0
100k,emb_siglip2,Int8,original,3,1152,0.84,0.832,1.0
100k,emb_siglip2,Int8,original,4,128,0.405,0.4135,0.815
100k,emb_siglip2,Int8,original,4,256,0.635,0.615,0.97
100k,emb_siglip2,Int8,original,4,384,0.705,0.6785,0.995
100k,emb_siglip2,Int8,original,4,512,0.745,0.7315,1.0
100k,emb_siglip2,Int8,original,4,640,0.765,0.766,1.0
100k,emb_siglip2,Int8,original,4,768,0.83,0.792,1.0
100k,emb_siglip2,Int8,original,4,896,0.845,0.8085,1.0
100k,emb_siglip2,Int8,original,4,1024,0.86,0.8375,1.0
100k,emb_siglip2,Int8,original,4,1152,0.865,0.8505,1.0
100k,emb_siglip2,Int8,original,5,128,0.39,0.409,0.835
100k,emb_siglip2,Int8,original,5,256,0.645,0.626,0.965
100k,emb_siglip2,Int8,original,5,384,0.7,0.688,1.0
100k,emb_siglip2,Int8,original,5,512,0.76,0.7365,1.0
100k,emb_siglip2,Int8,original,5,640,0.795,0.769,1.0
100k,emb_siglip2,Int8,original,5,768,0.85,0.7985,1.0
100k,emb_siglip2,Int8,original,5,896,0.855,0.8125,1.0
100k,emb_siglip2,Int8,original,5,1024,0.86,0.844,1.0
100k,emb_siglip2,Int8,original,5,1152,0.895,0.8655,1.0
100k,emb_siglip2,Int8,original,6,128,0.395,0.4025,0.805
100k,emb_siglip2,Int8,original,6,256,0.655,0.634,0.975
100k,emb_siglip2,Int8,original,6,384,0.705,0.6895,0.995
100k,emb_siglip2,Int8,original,6,512,0.75,0.74,1.0
100k,emb_siglip2,Int8,original,6,640,0.815,0.775,1.0
100k,emb_siglip2,Int8,original,6,768,0.845,0.8055,1.0
100k,emb_siglip2,Int8,original,6,896,0.85,0.825,1.0
100k,emb_siglip2,Int8,original,6,1024,0.875,0.8535,1.0
100k,emb_siglip2,Int8,original,6,1152,0.885,0.8695,1.0
100k,emb_siglip2,Int8,original,7,128,0.395,0.399,0.79
100k,emb_siglip2,Int8,original,7,256,0.66,0.631,0.97
100k,emb_siglip2,Int8,original,7,384,0.715,0.6925,1.0
100k,emb_siglip2,Int8,original,7,512,0.75,0.745,1.0
100k,emb_siglip2,Int8,original,7,640,0.815,0.7755,1.0
100k,emb_siglip2,Int8,original,7,768,0.86,0.8065,1.0
100k,emb_siglip2,Int8,original,7,896,0.865,0.828,1.0
100k,emb_siglip2,Int8,original,7,1024,0.885,0.8545,1.0
100k,emb_siglip2,Int8,original,7,1152,0.895,0.869,1.0
100k,emb_siglip2,Int8,original,8,128,0.37,0.394,0.795
100k,emb_siglip2,Int8,original,8,256,0.645,0.6315,0.97
100k,emb_siglip2,Int8,original,8,384,0.715,0.6965,1.0
100k,emb_siglip2,Int8,original,8,512,0.76,0.7485,1.0
100k,emb_siglip2,Int8,original,8,640,0.805,0.7805,1.0
100k,emb_siglip2,Int8,original,8,768,0.87,0.8145,1.0
100k,emb_siglip2,Int8,original,8,896,0.865,0.832,1.0
100k,emb_siglip2,Int8,original,8,1024,0.885,0.858,1.0
100k,emb_siglip2,Int8,original,8,1152,0.885,0.872,1.0
100k,emb_siglip2,Int8,rotated,1,128,0.25,0.2585,0.555
100k,emb_siglip2,Int8,rotated,1,256,0.38,0.447,0.82
100k,emb_siglip2,Int8,rotated,1,384,0.48,0.5325,0.91
100k,emb_siglip2,Int8,rotated,1,512,0.555,0.6005,0.95
100k,emb_siglip2,Int8,rotated,1,640,0.635,0.637,0.965
100k,emb_siglip2,Int8,rotated,1,768,0.67,0.6705,0.975
100k,emb_siglip2,Int8,rotated,1,896,0.68,0.691,0.995
100k,emb_siglip2,Int8,rotated,1,1024,0.745,0.7145,1.0
100k,emb_siglip2,Int8,rotated,1,1152,0.72,0.7245,1.0
100k,emb_siglip2,Int8,rotated,1,1280,0.735,0.7265,1.0
100k,emb_siglip2,Int8,rotated,1,1408,0.76,0.7385,1.0
100k,emb_siglip2,Int8,rotated,1,1536,0.775,0.749,1.0
100k,emb_siglip2,Int8,rotated,1,1664,0.76,0.757,1.0
100k,emb_siglip2,Int8,rotated,1,1792,0.785,0.7675,1.0
100k,emb_siglip2,Int8,rotated,1,1920,0.805,0.7705,1.0
100k,emb_siglip2,Int8,rotated,1,2048,0.825,0.784,1.0
100k,emb_siglip2,Int8,rotated,2,128,0.41,0.4195,0.825
100k,emb_siglip2,Int8,rotated,2,256,0.555,0.5845,0.95
100k,emb_siglip2,Int8,rotated,2,384,0.66,0.6665,0.965
100k,emb_siglip2,Int8,rotated,2,512,0.705,0.7295,1.0
100k,emb_siglip2,Int8,rotated,2,640,0.755,0.7685,1.0
100k,emb_siglip2,Int8,rotated,2,768,0.805,0.7965,1.0
100k,emb_siglip2,Int8,rotated,2,896,0.805,0.821,1.0
100k,emb_siglip2,Int8,rotated,2,1024,0.82,0.841,1.0
100k,emb_siglip2,Int8,rotated,2,1152,0.825,0.844,1.0
100k,emb_siglip2,Int8,rotated,2,1280,0.84,0.8475,1.0
100k,emb_siglip2,Int8,rotated,2,1408,0.835,0.858,1.0
100k,emb_siglip2,Int8,rotated,2,1536,0.86,0.865,1.0
100k,emb_siglip2,Int8,rotated,2,1664,0.855,0.87,1.0
100k,emb_siglip2,Int8,rotated,2,1792,0.865,0.8765,1.0
100k,emb_siglip2,Int8,rotated,2,1920,0.88,0.8825,1.0
100k,emb_siglip2,Int8,rotated,2,2048,0.875,0.8925,1.0
100k,emb_siglip2,Int8,rotated,3,128,0.49,0.4805,0.885
100k,emb_siglip2,Int8,rotated,3,256,0.645,0.6385,0.985
100k,emb_siglip2,Int8,rotated,3,384,0.715,0.719,0.99
100k,emb_siglip2,Int8,rotated,3,512,0.77,0.766,1.0
100k,emb_siglip2,Int8,rotated,3,640,0.805,0.811,1.0
100k,emb_siglip2,Int8,rotated,3,768,0.83,0.831,1.0
100k,emb_siglip2,Int8,rotated,3,896,0.85,0.859,1.0
100k,emb_siglip2,Int8,rotated,3,1024,0.865,0.881,1.0
100k,emb_siglip2,Int8,rotated,3,1152,0.845,0.882,1.0
100k,emb_siglip2,Int8,rotated,3,1280,0.865,0.888,1.0
100k,emb_siglip2,Int8,rotated,3,1408,0.875,0.893,1.0
100k,emb_siglip2,Int8,rotated,3,1536,0.9,0.9075,1.0
100k,emb_siglip2,Int8,rotated,3,1664,0.905,0.909,1.0
100k,emb_siglip2,Int8,rotated,3,1792,0.915,0.9165,1.0
100k,emb_siglip2,Int8,rotated,3,1920,0.93,0.9285,1.0
100k,emb_siglip2,Int8,rotated,3,2048,0.94,0.934,1.0
100k,emb_siglip2,Int8,rotated,4,128,0.485,0.4965,0.875
100k,emb_siglip2,Int8,rotated,4,256,0.64,0.6615,0.99
100k,emb_siglip2,Int8,rotated,4,384,0.715,0.734,1.0
100k,emb_siglip2,Int8,rotated,4,512,0.79,0.7765,1.0
100k,emb_siglip2,Int8,rotated,4,640,0.82,0.8155,1.0
100k,emb_siglip2,Int8,rotated,4,768,0.85,0.8435,1.0
100k,emb_siglip2,Int8,rotated,4,896,0.865,0.8675,1.0
100k,emb_siglip2,Int8,rotated,4,1024,0.875,0.8955,1.0
100k,emb_siglip2,Int8,rotated,4,1152,0.885,0.8935,1.0
100k,emb_siglip2,Int8,rotated,4,1280,0.91,0.9015,1.0
100k,emb_siglip2,Int8,rotated,4,1408,0.905,0.9025,1.0
100k,emb_siglip2,Int8,rotated,4,1536,0.93,0.9145,1.0
100k,emb_siglip2,Int8,rotated,4,1664,0.93,0.923,1.0
100k,emb_siglip2,Int8,rotated,4,1792,0.93,0.9345,1.0
100k,emb_siglip2,Int8,rotated,4,1920,0.93,0.946,1.0
100k,emb_siglip2,Int8,rotated,4,2048,0.96,0.9595,1.0
100k,emb_siglip2,Int8,rotated,5,128,0.5,0.506,0.88
100k,emb_siglip2,Int8,rotated,5,256,0.655,0.6635,0.985
100k,emb_siglip2,Int8,rotated,5,384,0.705,0.729,1.0
100k,emb_siglip2,Int8,rotated,5,512,0.785,0.7865,1.0
100k,emb_siglip2,Int8,rotated,5,640,0.83,0.8305,1.0
100k,emb_siglip2,Int8,rotated,5,768,0.865,0.852,1.0
100k,emb_siglip2,Int8,rotated,5,896,0.84,0.879,1.0
100k,emb_siglip2,Int8,rotated,5,1024,0.895,0.906,1.0
100k,emb_siglip2,Int8,rotated,5,1152,0.88,0.9015,1.0
100k,emb_siglip2,Int8,rotated,5,1280,0.895,0.9075,1.0
100k,emb_siglip2,Int8,rotated,5,1408,0.905,0.915,1.0
100k,emb_siglip2,Int8,rotated,5,1536,0.93,0.925,1.0
100k,emb_siglip2,Int8,rotated,5,1664,0.935,0.9315,1.0
100k,emb_siglip2,Int8,rotated,5,1792,0.935,0.942,1.0
100k,emb_siglip2,Int8,rotated,5,1920,0.945,0.956,1.0
100k,emb_siglip2,Int8,rotated,5,2048,0.97,0.9735,1.0
100k,emb_siglip2,Int8,rotated,6,128,0.515,0.511,0.88
100k,emb_siglip2,Int8,rotated,6,256,0.665,0.6675,0.985
100k,emb_siglip2,Int8,rotated,6,384,0.705,0.7295,1.0
100k,emb_siglip2,Int8,rotated,6,512,0.785,0.7825,1.0
100k,emb_siglip2,Int8,rotated,6,640,0.825,0.83,1.0
100k,emb_siglip2,Int8,rotated,6,768,0.855,0.8535,1.0
100k,emb_siglip2,Int8,rotated,6,896,0.85,0.88,1.0
100k,emb_siglip2,Int8,rotated,6,1024,0.89,0.9085,1.0
100k,emb_siglip2,Int8,rotated,6,1152,0.895,0.9055,1.0
100k,emb_siglip2,Int8,rotated,6,1280,0.9,0.91,1.0
100k,emb_siglip2,Int8,rotated,6,1408,0.9,0.9155,1.0
100k,emb_siglip2,Int8,rotated,6,1536,0.93,0.929,1.0
100k,emb_siglip2,Int8,rotated,6,1664,0.915,0.937,1.0
100k,emb_siglip2,Int8,rotated,6,1792,0.955,0.948,1.0
100k,emb_siglip2,Int8,rotated,6,1920,0.96,0.9605,1.0
100k,emb_siglip2,Int8,rotated,6,2048,0.99,0.986,1.0
100k,emb_siglip2,Int8,rotated,7,128,0.515,0.509,0.885
100k,emb_siglip2,Int8,rotated,7,256,0.67,0.672,0.99
100k,emb_siglip2,Int8,rotated,7,384,0.71,0.7335,1.0
100k,emb_siglip2,Int8,rotated,7,512,0.79,0.7825,1.0
100k,emb_siglip2,Int8,rotated,7,640,0.825,0.8295,1.0
100k,emb_siglip2,Int8,rotated,7,768,0.865,0.855,1.0
100k,emb_siglip2,Int8,rotated,7,896,0.875,0.8835,1.0
100k,emb_siglip2,Int8,rotated,7,1024,0.895,0.908,1.0
100k,emb_siglip2,Int8,rotated,7,1152,0.89,0.904,1.0
100k,emb_siglip2,Int8,rotated,7,1280,0.91,0.909,1.0
100k,emb_siglip2,Int8,rotated,7,1408,0.905,0.9135,1.0
100k,emb_siglip2,Int8,rotated,7,1536,0.93,0.9295,1.0
100k,emb_siglip2,Int8,rotated,7,1664,0.925,0.936,1.0
100k,emb_siglip2,Int8,rotated,7,1792,0.955,0.9485,1.0
100k,emb_siglip2,Int8,rotated,7,1920,0.96,0.964,1.0
100k,emb_siglip2,Int8,rotated,7,2048,0.985,0.989,1.0
100k,emb_siglip2,Int8,rotated,8,128,0.515,0.5095,0.89
100k,emb_siglip2,Int8,rotated,8,256,0.665,0.673,0.99
100k,emb_siglip2,Int8,rotated,8,384,0.71,0.734,1.0
100k,emb_siglip2,Int8,rotated,8,512,0.79,0.7865,1.0
100k,emb_siglip2,Int8,rotated,8,640,0.83,0.8315,1.0
100k,emb_siglip2,Int8,rotated,8,768,0.86,0.853,1.0
100k,emb_siglip2,Int8,rotated,8,896,0.865,0.8825,1.0
100k,emb_siglip2,Int8,rotated,8,1024,0.89,0.908,1.0
100k,emb_siglip2,Int8,rotated,8,1152,0.895,0.903,1.0
100k,emb_siglip2,Int8,rotated,8,1280,0.895,0.9105,1.0
100k,emb_siglip2,Int8,rotated,8,1408,0.9,0.9145,1.0
100k,emb_siglip2,Int8,rotated,8,1536,0.935,0.9295,1.0
100k,emb_siglip2,Int8,rotated,8,1664,0.935,0.935,1.0
100k,emb_siglip2,Int8,rotated,8,1792,0.955,0.948,1.0
100k,emb_siglip2,Int8,rotated,8,1920,0.95,0.9665,1.0
100k,emb_siglip2,Int8,rotated,8,2048,1.0,0.996,1.0
1m,emb_clip,BFloat16,original,1,128,0.0,0.0,0.0
1m,emb_clip,BFloat16,original,1,256,0.0,0.0,0.0
1m,emb_clip,BFloat16,original,1,384,0.0,0.0,0.0
1m,emb_clip,BFloat16,original,1,512,0.0,0.0,0.0
1m,emb_clip,BFloat16,original,1,640,0.0,0.0,0.0
1m,emb_clip,BFloat16,original,1,768,0.0,0.0,0.0
1m,emb_clip,BFloat16,original,2,128,0.0,0.0,0.0
1m,emb_clip,BFloat16,original,2,256,0.0,0.0,0.0
1m,emb_clip,BFloat16,original,2,384,0.0,0.0,0.0
1m,emb_clip,BFloat16,original,2,512,0.0,0.0,0.0
1m,emb_clip,BFloat16,original,2,640,0.0,0.0,0.0
1m,emb_clip,BFloat16,original,2,768,0.0,0.0,0.0
1m,emb_clip,BFloat16,original,3,128,0.34,0.309,0.695
1m,emb_clip,BFloat16,original,3,256,0.445,0.4615,0.85
1m,emb_clip,BFloat16,original,3,384,0.54,0.5295,0.91
1m,emb_clip,BFloat16,original,3,512,0.575,0.597,0.935
1m,emb_clip,BFloat16,original,3,640,0.645,0.633,0.98
1m,emb_clip,BFloat16,original,3,768,0.64,0.6545,0.98
1m,emb_clip,BFloat16,original,4,128,0.34,0.309,0.695
1m,emb_clip,BFloat16,original,4,256,0.445,0.4615,0.85
1m,emb_clip,BFloat16,original,4,384,0.54,0.5295,0.91
1m,emb_clip,BFloat16,original,4,512,0.575,0.597,0.935
1m,emb_clip,BFloat16,original,4,640,0.645,0.633,0.98
1m,emb_clip,BFloat16,original,4,768,0.64,0.6545,0.98
1m,emb_clip,BFloat16,original,5,128,0.34,0.3075,0.695
1m,emb_clip,BFloat16,original,5,256,0.465,0.4605,0.85
1m,emb_clip,BFloat16,original,5,384,0.545,0.531,0.91
1m,emb_clip,BFloat16,original,5,512,0.585,0.599,0.94
1m,emb_clip,BFloat16,original,5,640,0.64,0.6315,0.98
1m,emb_clip,BFloat16,original,5,768,0.645,0.6545,0.98
1m,emb_clip,BFloat16,original,6,128,0.43,0.3985,0.81
1m,emb_clip,BFloat16,original,6,256,0.555,0.5255,0.895
1m,emb_clip,BFloat16,original,6,384,0.605,0.5955,0.95
1m,emb_clip,BFloat16,original,6,512,0.67,0.662,0.98
1m,emb_clip,BFloat16,original,6,640,0.72,0.692,0.995
1m,emb_clip,BFloat16,original,6,768,0.745,0.722,0.995
1m,emb_clip,BFloat16,original,7,128,0.405,0.391,0.77
1m,emb_clip,BFloat16,original,7,256,0.47,0.447,0.81
1m,emb_clip,BFloat16,original,7,384,0.57,0.542,0.865
1m,emb_clip,BFloat16,original,7,512,0.54,0.568,0.87
1m,emb_clip,BFloat16,original,7,640,0.575,0.6145,0.925
1m,emb_clip,BFloat16,original,7,768,0.54,0.559,0.9
1m,emb_clip,BFloat16,original,8,128,0.43,0.4275,0.825
1m,emb_clip,BFloat16,original,8,256,0.52,0.5225,0.875
1m,emb_clip,BFloat16,original,8,384,0.59,0.6105,0.94
1m,emb_clip,BFloat16,original,8,512,0.435,0.428,0.655
1m,emb_clip,BFloat16,original,8,640,0.5,0.5105,0.78
1m,emb_clip,BFloat16,original,8,768,0.375,0.422,0.65
1m,emb_clip,BFloat16,original,9,128,0.5,0.469,0.865
1m,emb_clip,BFloat16,original,9,256,0.595,0.578,0.91
1m,emb_clip,BFloat16,original,9,384,0.645,0.6625,0.96
1m,emb_clip,BFloat16,original,9,512,0.695,0.668,0.95
1m,emb_clip,BFloat16,original,9,640,0.77,0.7355,0.98
1m,emb_clip,BFloat16,original,9,768,0.735,0.721,0.99
1m,emb_clip,BFloat16,original,10,128,0.51,0.4825,0.87
1m,emb_clip,BFloat16,original,10,256,0.615,0.5945,0.92
1m,emb_clip,BFloat16,original,10,384,0.695,0.678,0.97
1m,emb_clip,BFloat16,original,10,512,0.775,0.7875,0.985
1m,emb_clip,BFloat16,original,10,640,0.835,0.8485,1.0
1m,emb_clip,BFloat16,original,10,768,0.89,0.901,1.0
1m,emb_clip,BFloat16,original,11,128,0.53,0.484,0.875
1m,emb_clip,BFloat16,original,11,256,0.63,0.607,0.91
1m,emb_clip,BFloat16,original,11,384,0.69,0.6795,0.97
1m,emb_clip,BFloat16,original,11,512,0.81,0.825,0.99
1m,emb_clip,BFloat16,original,11,640,0.865,0.8775,1.0
