sample,dataset,type,rotation,bits,dims,recall10,recall100,recall10in100
100k,emb_clip,BFloat16,original,14,640,0.915,0.878,1.0
100k,emb_clip,BFloat16,original,14,768,1.0,0.989,1.0
100k,emb_clip,BFloat16,original,15,128,0.505,0.445,0.83
100k,emb_clip,BFloat16,original,15,256,0.585,0.572,0.945
100k,emb_clip,BFloat16,original,15,384,0.645,0.6755,0.995
100k,emb_clip,BFloat16,original,15,512,0.845,0.8225,1.0
100k,emb_clip,BFloat16,original,15,640,0.92,0.8775,1.0
100k,emb_clip,BFloat16,original,15,768,1.0,0.993,1.0
100k,emb_clip,BFloat16,original,16,128,0.505,0.445,0.835
100k,emb_clip,BFloat16,original,16,256,0.58,0.5725,0.945
100k,emb_clip,BFloat16,original,16,384,0.645,0.676,0.995
100k,emb_clip,BFloat16,original,16,512,0.845,0.822,1.0
100k,emb_clip,BFloat16,original,16,640,0.92,0.88,1.0
100k,emb_clip,BFloat16,original,16,768,1.0,1.0,1.0
100k,emb_clip,BFloat16,rotated,1,128,0.0,0.001,0.0
100k,emb_clip,BFloat16,rotated,1,256,0.0,0.001,0.0
100k,emb_clip,BFloat16,rotated,1,384,0.0,0.001,0.0
100k,emb_clip,BFloat16,rotated,1,512,0.0,0.001,0.0
100k,emb_clip,BFloat16,rotated,1,640,0.0,0.001,0.0
100k,emb_clip,BFloat16,rotated,1,768,0.0,0.001,0.0
100k,emb_clip,BFloat16,rotated,2,128,0.0,0.001,0.0
100k,emb_clip,BFloat16,rotated,2,256,0.0,0.001,0.0
100k,emb_clip,BFloat16,rotated,2,384,0.0,0.001,0.0
100k,emb_clip,BFloat16,rotated,2,512,0.0,0.001,0.0
100k,emb_clip,BFloat16,rotated,2,640,0.0,0.001,0.0
100k,emb_clip,BFloat16,rotated,2,768,0.0,0.001,0.0
100k,emb_clip,BFloat16,rotated,3,128,0.205,0.2685,0.625
100k,emb_clip,BFloat16,rotated,3,256,0.41,0.45,0.81
100k,emb_clip,BFloat16,rotated,3,384,0.47,0.548,0.91
100k,emb_clip,BFloat16,rotated,3,512,0.56,0.6135,0.96
100k,emb_clip,BFloat16,rotated,3,640,0.585,0.6565,0.975
100k,emb_clip,BFloat16,rotated,3,768,0.65,0.687,0.995
100k,emb_clip,BFloat16,rotated,4,128,0.205,0.2685,0.625
100k,emb_clip,BFloat16,rotated,4,256,0.41,0.45,0.81
100k,emb_clip,BFloat16,rotated,4,384,0.47,0.548,0.91
100k,emb_clip,BFloat16,rotated,4,512,0.56,0.6135,0.96
100k,emb_clip,BFloat16,rotated,4,640,0.585,0.6565,0.975
100k,emb_clip,BFloat16,rotated,4,768,0.65,0.687,0.995
100k,emb_clip,BFloat16,rotated,5,128,0.2,0.2675,0.625
100k,emb_clip,BFloat16,rotated,5,256,0.405,0.4515,0.815
100k,emb_clip,BFloat16,rotated,5,384,0.475,0.549,0.91
100k,emb_clip,BFloat16,rotated,5,512,0.545,0.614,0.965
100k,emb_clip,BFloat16,rotated,5,640,0.585,0.658,0.975
100k,emb_clip,BFloat16,rotated,5,768,0.655,0.688,0.995
100k,emb_clip,BFloat16,rotated,6,128,0.285,0.348,0.705
100k,emb_clip,BFloat16,rotated,6,256,0.46,0.5375,0.92
100k,emb_clip,BFloat16,rotated,6,384,0.575,0.631,0.975
100k,emb_clip,BFloat16,rotated,6,512,0.635,0.6885,0.985
100k,emb_clip,BFloat16,rotated,6,640,0.695,0.731,0.995
100k,emb_clip,BFloat16,rotated,6,768,0.715,0.761,1.0
100k,emb_clip,BFloat16,rotated,7,128,0.29,0.35,0.71
100k,emb_clip,BFloat16,rotated,7,256,0.48,0.527,0.915
100k,emb_clip,BFloat16,rotated,7,384,0.575,0.622,0.97
100k,emb_clip,BFloat16,rotated,7,512,0.625,0.6765,0.97
100k,emb_clip,BFloat16,rotated,7,640,0.69,0.7105,0.975
100k,emb_clip,BFloat16,rotated,7,768,0.72,0.7385,0.98
100k,emb_clip,BFloat16,rotated,8,128,0.43,0.4535,0.835
100k,emb_clip,BFloat16,rotated,8,256,0.57,0.6285,0.975
100k,emb_clip,BFloat16,rotated,8,384,0.67,0.7045,0.995
100k,emb_clip,BFloat16,rotated,8,512,0.74,0.765,0.995
100k,emb_clip,BFloat16,rotated,8,640,0.79,0.8075,1.0
100k,emb_clip,BFloat16,rotated,8,768,0.845,0.858,1.0
100k,emb_clip,BFloat16,rotated,9,128,0.465,0.51,0.89
100k,emb_clip,BFloat16,rotated,9,256,0.625,0.6815,0.99
100k,emb_clip,BFloat16,rotated,9,384,0.695,0.768,1.0
100k,emb_clip,BFloat16,rotated,9,512,0.765,0.829,1.0
100k,emb_clip,BFloat16,rotated,9,640,0.855,0.866,1.0
100k,emb_clip,BFloat16,rotated,9,768,0.88,0.9075,1.0
100k,emb_clip,BFloat16,rotated,10,128,0.515,0.5355,0.91
100k,emb_clip,BFloat16,rotated,10,256,0.665,0.705,1.0
100k,emb_clip,BFloat16,rotated,10,384,0.735,0.798,1.0
100k,emb_clip,BFloat16,rotated,10,512,0.82,0.854,1.0
100k,emb_clip,BFloat16,rotated,10,640,0.875,0.8945,1.0
100k,emb_clip,BFloat16,rotated,10,768,0.95,0.9545,1.0
100k,emb_clip,BFloat16,rotated,11,128,0.515,0.546,0.92
100k,emb_clip,BFloat16,rotated,11,256,0.685,0.7215,0.995
100k,emb_clip,BFloat16,rotated,11,384,0.77,0.8065,1.0
100k,emb_clip,BFloat16,rotated,11,512,0.845,0.8595,1.0
100k,emb_clip,BFloat16,rotated,11,640,0.895,0.906,1.0
100k,emb_clip,BFloat16,rotated,11,768,0.965,0.9755,1.0
100k,emb_clip,BFloat16,rotated,12,128,0.52,0.551,0.915
100k,emb_clip,BFloat16,rotated,12,256,0.685,0.7225,1.0
100k,emb_clip,BFloat16,rotated,12,384,0.78,0.807,1.0
100k,emb_clip,BFloat16,rotated,12,512,0.85,0.8605,1.0
100k,emb_clip,BFloat16,rotated,12,640,0.915,0.9095,1.0
100k,emb_clip,BFloat16,rotated,12,768,0.985,0.99,1.0
100k,emb_clip,BFloat16,rotated,13,128,0.53,0.552,0.915
100k,emb_clip,BFloat16,rotated,13,256,0.69,0.723,1.0
100k,emb_clip,BFloat16,rotated,13,384,0.785,0.808,1.0
100k,emb_clip,BFloat16,rotated,13,512,0.845,0.862,1.0
100k,emb_clip,BFloat16,rotated,13,640,0.915,0.91,1.0
100k,emb_clip,BFloat16,rotated,13,768,0.99,0.9955,1.0
100k,emb_clip,BFloat16,rotated,14,128,0.53,0.552,0.915
100k,emb_clip,BFloat16,rotated,14,256,0.685,0.7225,1.0
100k,emb_clip,BFloat16,rotated,14,384,0.775,0.8095,1.0
100k,emb_clip,BFloat16,rotated,14,512,0.845,0.8625,1.0
100k,emb_clip,BFloat16,rotated,14,640,0.915,0.911,1.0
100k,emb_clip,BFloat16,rotated,14,768,1.0,0.9965,1.0
100k,emb_clip,BFloat16,rotated,15,128,0.535,0.5525,0.915
100k,emb_clip,BFloat16,rotated,15,256,0.68,0.723,1.0
100k,emb_clip,BFloat16,rotated,15,384,0.775,0.8085,1.0
100k,emb_clip,BFloat16,rotated,15,512,0.84,0.8615,1.0
100k,emb_clip,BFloat16,rotated,15,640,0.915,0.911,1.0
100k,emb_clip,BFloat16,rotated,15,768,1.0,0.998,1.0
100k,emb_clip,BFloat16,rotated,16,128,0.54,0.552,0.915
100k,emb_clip,BFloat16,rotated,16,256,0.68,0.7235,1.0
100k,emb_clip,BFloat16,rotated,16,384,0.775,0.808,1.0
100k,emb_clip,BFloat16,rotated,16,512,0.845,0.862,1.0
100k,emb_clip,BFloat16,rotated,16,640,0.915,0.9095,1.0
100k,emb_clip,BFloat16,rotated,16,768,1.0,0.9985,1.0
100k,emb_clip,Int8,original,1,128,0.325,0.306,0.685
100k,emb_clip,Int8,original,1,256,0.49,0.4595,0.855
100k,emb_clip,Int8,original,1,384,0.535,0.5405,0.895
100k,emb_clip,Int8,original,1,512,0.63,0.5945,0.965
100k,emb_clip,Int8,original,1,640,0.63,0.644,0.98
100k,emb_clip,Int8,original,1,768,0.7,0.6745,0.995
100k,emb_clip,Int8,original,2,128,0.425,0.4035,0.795
100k,emb_clip,Int8,original,2,256,0.57,0.537,0.9
100k,emb_clip,Int8,original,2,384,0.615,0.6325,0.96
100k,emb_clip,Int8,original,2,512,0.715,0.7135,0.995
100k,emb_clip,Int8,original,2,640,0.735,0.7455,1.0
100k,emb_clip,Int8,original,2,768,0.785,0.7865,1.0
100k,emb_clip,Int8,original,3,128,0.455,0.43,0.84
100k,emb_clip,Int8,original,3,256,0.57,0.58,0.915
100k,emb_clip,Int8,original,3,384,0.615,0.669,0.995
100k,emb_clip,Int8,original,3,512,0.73,0.7595,1.0
100k,emb_clip,Int8,original,3,640,0.79,0.7915,1.0
100k,emb_clip,Int8,original,3,768,0.835,0.847,1.0
100k,emb_clip,Int8,original,4,128,0.47,0.4485,0.83
